id,classifier_id,ad_id,classification,ease,timestamp,,,,
78,166,3552179,tot_remote,medium,48:20.2,,,,
79,298,4078570,tot_remote,easy,29:55.7,,,,
80,298,2687267,semi_remote,medium,49:41.4,,,,
81,34,4074737,temp_remote,easy,13:48.2,,,,
82,67,4144254,not_clear_remote,medium,54:29.8,,,,
83,5,5049108,not_clear_remote,easy,,,,,
84,133,4315526,not_clear_remote,hard,46:54.0,,,,
85,166,2918898,not_remote,easy,33:46.4,,,,
86,34,4132147,tot_remote,easy,27:02.2,,,,
87,166,5476244,not_clear_remote,medium,,,,,
88,34,5069656,not_clear_remote,easy,01:07.9,,,,
89,67,3307670,tot_remote,easy,01:21.1,,,,
90,265,5232095,tot_remote,easy,48:30.8,,,,
91,133,4350634,semi_remote,medium,05:23.6,,,,
92,298,4069171,tot_remote,easy,11:24.6,,,,
93,166,5017505,not_clear_remote,easy,,,,,
94,100,4062255,temp_remote,medium,52:29.5,,,,
95,133,1864632,temp_remote,medium,34:47.2,,,,
96,265,4564078,not_remote,easy,49:43.7,,,,
97,133,4443361,not_remote,medium,49:50.2,,,,
98,166,5644928,not_remote,easy,,,,,
99,166,4060341,tot_remote,easy,,,,,
100,67,4085566,temp_remote,easy,32:48.6,,,,
101,100,2604849,not_clear_remote,medium,41:56.7,,,,
102,5,4142721,not_clear_remote,medium,34:24.1,,,,
103,397,2465149,not_remote,medium,,,,,
104,298,4592466,semi_remote,easy,53:52.9,,,,
105,232,4115335,not_remote,easy,29:58.5,,,,
106,298,4089651,tot_remote,easy,09:05.5,,,,
107,199,4047122,tot_remote,easy,50:33.2,,,,
108,331,5531629,not_clear_remote,easy,33:58.2,,,,
109,5,4034091,temp_remote,easy,11:37.8,,,,
110,166,5168784,semi_presence,easy,,,,,
111,331,5392150,semi_presence,easy,11:45.2,,,,
112,397,5023278,not_remote,easy,31:56.2,,,,
113,2,4406881,tot_remote,easy,54:34.5,,,,
114,67,5067029,tot_remote,easy,58:45.8,,,,
115,34,4089664,tot_remote,easy,52:17.2,,,,
116,34,5326784,not_remote,easy,16:52.0,,,,
117,199,4040457,temp_remote,easy,57:57.8,,,,
118,199,4065153,not_clear_remote,easy,57:53.9,,,,
119,133,4038145,tot_remote,easy,14:50.4,,,,
120,133,742847,not_remote,hard,24:22.3,,,,
121,232,5389297,semi_presence,easy,18:24.3,,,,
122,331,4078119,temp_remote,easy,47:25.0,,,,
123,166,5449035,semi_presence,hard,,,,,
124,34,5473381,not_clear_remote,easy,06:09.9,,,,
125,3,5119447,temp_remote,easy,41:09.6,,,,
126,199,4094882,tot_remote,easy,58:29.2,,,,
127,2,4421338,tot_remote,easy,51:48.8,,,,
128,166,5363905,tot_remote,easy,,,,,
129,34,5234735,semi_presence,easy,23:53.8,,,,
130,67,4118925,not_clear_remote,easy,11:25.4,,,,
131,67,5532942,tot_remote,easy,57:17.0,,,,
132,133,3558133,not_remote,hard,36:00.1,,,,
133,298,5275671,semi_remote,easy,20:22.7,,,,
134,397,3185366,semi_remote,easy,15:10.2,,,,
135,397,5623772,tot_remote,easy,52:56.2,,,,
136,67,771792,tot_remote,easy,35:04.6,,,,
137,199,5499670,tot_remote,easy,09:51.9,,,,
138,265,4469063,not_remote,easy,31:51.7,,,,
139,265,3301802,semi_presence,easy,01:09.6,,,,
140,3,4376526,semi_remote,medium,44:32.3,,,,
141,199,584874,tot_remote,easy,51:04.7,,,,
142,199,4389171,not_clear_remote,easy,59:28.5,,,,
143,166,5088234,semi_presence,medium,,,,,
144,2,2188905,not_clear_remote,medium,00:33.3,,,,
145,298,4027335,temp_remote,easy,31:00.3,,,,
146,5,4082802,temp_remote,easy,52:59.7,,,,
147,166,4057457,tot_remote,medium,46:23.5,,,,
148,199,5547325,not_clear_remote,easy,10:36.9,,,,
149,67,5287918,not_clear_remote,easy,27:39.2,,,,
150,298,5289848,not_remote,medium,05:37.0,,,,
151,397,3788806,semi_presence,easy,,,,,
152,2,4357824,tot_remote,easy,44:42.8,,,,
153,298,5320211,tot_remote,easy,03:35.7,,,,
154,34,4115250,temp_remote,easy,04:12.0,,,,
155,100,5420148,tot_remote,easy,51:18.1,,,,
156,166,4137184,not_clear_remote,easy,,,,,
157,397,4152098,tot_remote,easy,40:10.9,,,,
158,3,4119059,semi_presence,easy,24:11.0,,,,
159,67,4252377,semi_presence,easy,56:04.6,,,,
160,5,5082637,tot_remote,easy,26:44.2,,,,
161,133,4082951,not_clear_remote,easy,25:17.3,,,,
162,100,5604693,semi_remote,easy,31:00.9,,,,
163,5,5226990,tot_remote,easy,44:25.1,,,,
164,265,5184027,semi_presence,medium,23:13.6,,,,
165,397,5105266,semi_presence,easy,58:36.2,,,,
166,166,5019635,semi_presence,medium,,,,,
167,67,4154899,tot_remote,easy,36:02.4,,,,
168,34,5149509,not_clear_remote,easy,29:28.5,,,,
169,199,4483421,tot_remote,easy,55:18.2,,,,
170,133,5179417,semi_presence,easy,32:21.3,,,,
171,298,5287796,semi_presence,easy,05:12.1,,,,
172,2,5664103,not_clear_remote,easy,15:44.5,,,,
173,232,336232,not_remote,easy,25:53.2,,,,
174,199,4145408,semi_remote,easy,52:21.4,,,,
175,100,4148067,tot_remote,easy,00:09.7,,,,
176,166,4110235,semi_remote,easy,,,,,
177,133,5593404,semi_presence,medium,26:45.6,,,,
178,166,5522130,tot_remote,easy,13:44.0,,,,
179,199,4108812,temp_remote,easy,27:11.2,,,,
180,166,4220354,not_remote,hard,50:28.3,,,,
181,166,4048491,tot_remote,easy,,,,,
182,3,4136592,temp_remote,easy,20:06.8,,,,
183,100,5088954,tot_remote,easy,52:06.0,,,,
184,133,4398636,semi_remote,easy,36:30.8,,,,
185,2,5270587,semi_presence,medium,24:27.1,,,,
186,199,4063229,tot_remote,easy,03:07.5,,,,
187,199,5522279,not_clear_remote,medium,52:54.8,,,,
188,331,1605295,not_clear_remote,easy,48:04.7,,,,
189,331,4139762,tot_remote,easy,54:43.9,,,,
190,3,4066655,tot_remote,easy,13:24.0,,,,
191,100,4228559,temp_remote,medium,37:42.4,,,,
192,2,4115335,not_clear_remote,easy,27:01.3,,,,
193,298,3532506,temp_remote,medium,59:02.4,,,,
194,3,5362497,tot_remote,easy,48:30.2,,,,
195,265,4084165,semi_presence,medium,28:54.1,,,,
196,34,5397478,tot_remote,easy,04:27.3,,,,
197,34,4159976,tot_remote,easy,04:08.8,,,,
198,3,4132152,temp_remote,easy,00:33.2,,,,
199,3,5565660,semi_remote,medium,17:08.0,,,,
200,298,4117170,temp_remote,easy,19:26.0,,,,
201,3,4107884,tot_remote,easy,20:27.1,,,,
202,331,5027092,tot_remote,medium,29:18.3,,,,
203,67,5103493,semi_remote,easy,54:20.9,,,,
204,265,5189074,semi_presence,easy,13:47.5,,,,
205,397,352419,not_remote,easy,,,,,
206,5,5539037,not_remote,easy,50:07.5,,,,
207,232,4626670,tot_remote,easy,35:15.3,,,,
208,298,4170270,semi_remote,easy,48:10.6,,,,
209,199,4054970,tot_remote,easy,31:12.5,,,,
210,265,746863,not_clear_remote,hard,06:54.6,,,,
211,331,5079243,not_clear_remote,easy,53:53.7,,,,
212,232,5474377,not_remote,easy,43:48.8,,,,
213,166,5641273,not_clear_remote,medium,,,,,
214,133,3028636,tot_remote,easy,16:54.3,,,,
215,34,4083739,temp_remote,easy,15:59.4,,,,
216,5,5076358,not_remote,easy,27:19.8,,,,
217,100,705640,semi_presence,medium,55:53.7,,,,
218,34,1118287,not_remote,easy,15:35.6,,,,
219,133,5423587,tot_remote,easy,03:52.0,,,,
220,166,5104466,semi_remote,easy,,,,,
221,298,5468775,semi_remote,easy,58:25.7,,,,
222,133,5191970,tot_remote,easy,23:32.9,,,,
223,199,5588200,not_remote,easy,07:09.6,,,,
224,298,5035189,not_remote,easy,01:20.7,,,,
225,166,5279028,not_remote,easy,,,,,
226,166,5337833,tot_remote,easy,,,,,
227,298,3906560,semi_remote,medium,52:14.0,,,,
228,232,2622733,not_remote,easy,34:23.0,,,,
229,166,5616307,semi_remote,easy,,,,,
230,199,5095117,not_clear_remote,easy,15:08.9,,,,
231,34,4155120,tot_remote,easy,12:44.4,,,,
232,265,435591,not_clear_remote,medium,24:34.9,,,,
233,100,5119282,not_remote,easy,26:09.3,,,,
234,5,4087328,not_remote,medium,49:53.5,,,,
235,67,3792490,semi_presence,easy,06:26.8,,,,
236,298,4114728,tot_remote,easy,26:30.5,,,,
237,166,4113784,tot_remote,medium,02:55.6,,,,
238,133,3628549,tot_remote,easy,04:22.5,,,,
239,265,5102488,tot_remote,easy,51:31.4,,,,
240,34,5288091,not_clear_remote,easy,57:47.4,,,,
241,331,3138240,not_remote,easy,30:51.8,,,,
242,166,4051033,tot_remote,easy,,,,,
243,34,3786887,not_remote,easy,38:54.4,,,,
244,5,4326726,tot_remote,easy,17:01.2,,,,
245,232,4090716,tot_remote,easy,32:58.1,,,,
246,2,5298346,not_clear_remote,easy,03:05.4,,,,
247,397,4074940,semi_presence,easy,31:02.6,,,,
248,2,5577328,not_clear_remote,easy,34:04.7,,,,
249,5,5136898,semi_presence,easy,22:58.9,,,,
250,166,4079879,tot_remote,easy,,,,,
251,199,4143066,temp_remote,easy,28:16.1,,,,
252,34,5602680,tot_remote,easy,59:19.1,,,,
253,397,5616454,semi_remote,easy,47:28.7,,,,
254,133,5183957,semi_presence,easy,44:28.2,,,,
255,298,4056456,tot_remote,easy,02:43.9,,,,
256,133,4155956,not_clear_remote,medium,32:20.5,,,,
257,265,5517465,tot_remote,easy,16:35.6,,,,
258,3,3385605,semi_presence,easy,29:02.5,,,,
259,397,1052112,semi_presence,easy,,,,,
260,100,3765727,not_remote,easy,51:02.3,,,,
261,2,1573461,not_clear_remote,easy,58:56.4,,,,
262,100,5469736,tot_remote,easy,40:59.2,,,,
263,265,5608610,tot_remote,easy,00:11.8,,,,
264,232,4130892,tot_remote,easy,08:56.7,,,,
265,67,4086132,tot_remote,medium,32:29.4,,,,
266,34,4228559,not_clear_remote,easy,04:42.7,,,,
267,166,4015498,tot_remote,easy,,,,,
268,199,4366300,tot_remote,easy,10:21.0,,,,
269,298,5547148,tot_remote,easy,15:39.5,,,,
270,298,209924,tot_remote,easy,36:57.2,,,,
271,166,5010633,not_remote,easy,,,,,
272,298,5493129,semi_remote,easy,36:21.7,,,,
273,100,4092881,tot_remote,easy,24:53.5,,,,
274,5,1329452,not_remote,easy,32:41.4,,,,
275,232,5518113,semi_presence,easy,30:44.1,,,,
276,3,458251,tot_remote,easy,33:51.9,,,,
277,5,5429755,semi_presence,medium,23:12.4,,,,
278,166,4132565,tot_remote,easy,49:05.3,,,,
279,67,4170773,tot_remote,hard,28:20.2,,,,
280,232,5497179,semi_remote,easy,58:26.0,,,,
281,166,4225717,tot_remote,easy,59:01.4,,,,
282,166,5651713,semi_presence,easy,,,,,
283,34,217039,not_remote,easy,00:21.4,,,,
284,232,5408629,tot_remote,easy,16:03.0,,,,
285,67,4287710,not_clear_remote,medium,09:11.7,,,,
286,5,4114092,semi_remote,hard,08:36.5,,,,
287,133,4074422,temp_remote,easy,24:38.5,,,,
288,5,4236151,not_remote,easy,08:05.2,,,,
289,331,5546772,not_clear_remote,easy,55:57.7,,,,
290,100,1273495,not_clear_remote,medium,33:42.4,,,,
291,100,553635,not_remote,easy,21:53.8,,,,
292,34,4047367,temp_remote,easy,29:46.2,,,,
293,5,5211118,semi_presence,medium,30:46.4,,,,
294,199,5628292,not_clear_remote,medium,57:09.6,,,,
295,166,5594377,semi_presence,medium,,,,,
296,298,4031869,temp_remote,easy,47:26.8,,,,
297,232,4132165,tot_remote,easy,35:01.6,,,,
298,298,5114917,semi_remote,easy,38:39.2,,,,
299,166,4088144,temp_remote,easy,38:24.2,,,,
300,100,5321983,semi_remote,easy,48:09.8,,,,
301,133,4122162,tot_remote,easy,07:03.9,,,,
302,331,568275,tot_remote,easy,32:36.1,,,,
303,34,4128692,temp_remote,easy,17:45.0,,,,
304,298,5194904,semi_remote,easy,46:51.5,,,,
305,3,4661089,not_clear_remote,medium,35:50.7,,,,
306,67,5108330,tot_remote,easy,48:05.9,,,,
307,133,4374321,tot_remote,medium,33:01.6,,,,
308,166,4065088,tot_remote,easy,,,,,
309,100,4099614,tot_remote,easy,46:09.5,,,,
310,199,5510937,semi_presence,easy,26:49.6,,,,
311,331,4449962,not_clear_remote,medium,09:55.1,,,,
312,397,4291952,semi_remote,easy,09:28.2,,,,
313,5,5012325,semi_presence,easy,41:11.0,,,,
314,166,5298346,semi_presence,medium,51:57.4,,,,
315,298,5169220,temp_remote,easy,37:55.0,,,,
316,67,5411506,not_clear_remote,medium,59:15.4,,,,
317,34,5596358,semi_presence,easy,58:48.9,,,,
318,2,4605819,not_clear_remote,easy,57:11.5,,,,
319,265,1329478,tot_remote,easy,58:54.6,,,,
320,166,5302371,not_clear_remote,hard,,,,,
321,100,1372007,semi_remote,easy,32:28.3,,,,
322,67,3985636,not_remote,easy,49:09.3,,,,
323,166,4630063,tot_remote,medium,,,,,
324,199,5491028,tot_remote,easy,03:14.1,,,,
325,67,416778,tot_remote,easy,37:47.7,,,,
326,397,4340545,tot_remote,easy,14:07.8,,,,
327,166,4117738,tot_remote,easy,,,,,
328,166,5172970,semi_presence,easy,,,,,
329,100,4129118,temp_remote,medium,16:05.0,,,,
330,232,5447417,tot_remote,easy,27:59.2,,,,
331,232,5362625,semi_presence,easy,30:02.3,,,,
332,199,5651291,not_clear_remote,easy,33:00.1,,,,
333,199,5384657,not_clear_remote,easy,54:58.9,,,,
334,133,5231529,not_clear_remote,medium,09:56.3,,,,
335,100,5659244,semi_remote,easy,39:49.8,,,,
336,166,4078642,semi_remote,easy,,,,,
337,331,5140727,tot_remote,easy,33:17.1,,,,
338,3,1978305,not_remote,easy,14:08.8,,,,
339,166,5637133,semi_presence,medium,23:58.9,,,,
340,331,4336286,not_clear_remote,easy,20:54.0,,,,
341,34,5592552,tot_remote,easy,14:39.3,,,,
342,166,3831000,not_remote,medium,33:32.4,,,,
343,397,5552829,semi_presence,easy,27:51.2,,,,
344,100,5296726,semi_remote,easy,38:58.6,,,,
345,5,4509197,not_remote,easy,37:14.7,,,,
346,331,4145039,semi_remote,easy,44:18.9,,,,
347,34,5512076,semi_presence,easy,44:12.1,,,,
348,265,4146602,tot_remote,easy,48:40.7,,,,
349,67,5200020,semi_remote,easy,39:48.1,,,,
350,133,4380670,semi_remote,easy,40:32.0,,,,
351,397,3368420,not_remote,easy,,,,,
352,166,5596367,semi_presence,easy,,,,,
353,166,5125697,semi_remote,easy,,,,,
354,100,5224329,tot_remote,easy,39:23.4,,,,
355,133,4518318,temp_remote,easy,18:08.1,,,,
356,100,4090456,tot_remote,easy,18:30.4,,,,
357,166,4127626,tot_remote,easy,35:06.5,,,,
358,199,4099436,temp_remote,easy,04:26.9,,,,
359,397,2822600,not_remote,easy,,,,,
360,133,3982755,not_remote,easy,47:35.7,,,,
361,133,5637581,semi_presence,easy,25:48.1,,,,
362,331,5217497,not_remote,hard,31:28.4,,,,
363,298,5594445,semi_remote,easy,28:29.2,,,,
364,34,2456766,not_clear_remote,easy,58:29.1,,,,
365,166,4492843,semi_remote,easy,,,,,
366,2,376771,semi_remote,easy,31:11.9,,,,
367,133,4496896,not_clear_remote,easy,07:14.2,,,,
368,34,5449583,semi_presence,medium,39:26.9,,,,
369,298,5542576,semi_remote,easy,58:06.2,,,,
370,199,4232951,tot_remote,easy,53:34.3,,,,
371,331,3788824,tot_remote,easy,59:49.2,,,,
372,5,5057448,semi_remote,easy,32:01.2,,,,
373,2,5593238,semi_presence,easy,22:00.2,,,,
374,67,5424605,semi_remote,medium,20:06.4,,,,
375,133,5102033,not_remote,easy,29:35.6,,,,
376,232,225675,tot_remote,easy,42:10.6,,,,
377,100,5200102,semi_presence,easy,07:17.4,,,,
378,34,4131602,semi_remote,easy,03:43.3,,,,
379,331,4326216,not_clear_remote,easy,27:50.8,,,,
380,3,4566314,not_clear_remote,easy,52:14.2,,,,
381,34,5200102,semi_remote,easy,20:10.8,,,,
382,34,5628480,semi_remote,easy,55:21.2,,,,
383,265,5633750,not_remote,medium,58:30.2,,,,
384,2,293478,not_remote,easy,15:24.6,,,,
385,133,5377283,not_remote,easy,07:27.7,,,,
386,331,5226990,tot_remote,easy,31:45.3,,,,
387,34,4090456,not_clear_remote,easy,12:48.0,,,,
388,166,5640366,semi_remote,medium,04:49.7,,,,
389,34,4061940,temp_remote,easy,20:38.1,,,,
390,133,5273892,not_clear_remote,medium,31:55.2,,,,
391,166,4077822,not_clear_remote,easy,,,,,
392,133,5289378,not_clear_remote,medium,15:35.0,,,,
393,5,5282257,tot_remote,easy,36:56.6,,,,
394,5,4336286,not_clear_remote,easy,20:20.5,,,,
395,166,4131744,temp_remote,easy,,,,,
396,397,2161564,not_clear_remote,easy,,,,,
397,265,2265710,tot_remote,easy,13:23.2,,,,
398,3,5200824,semi_remote,easy,14:03.9,,,,
399,331,5643238,not_clear_remote,medium,53:56.5,,,,
400,232,3899880,tot_remote,easy,40:56.0,,,,
401,100,1775438,tot_remote,easy,04:48.9,,,,
402,34,3435590,not_clear_remote,easy,10:31.9,,,,
403,166,4650466,semi_presence,easy,00:34.7,,,,
404,166,4518318,temp_remote,easy,,,,,
405,67,5234735,tot_remote,easy,34:17.7,,,,
406,166,5535733,semi_presence,easy,,,,,
407,298,5583236,not_remote,easy,18:34.5,,,,
408,3,4254998,tot_remote,easy,17:59.0,,,,
409,331,5095839,not_clear_remote,easy,34:05.3,,,,
410,34,4015472,tot_remote,easy,10:33.9,,,,
411,5,5394574,tot_remote,easy,43:14.5,,,,
412,166,4046891,not_remote,medium,,,,,
413,34,5572833,not_remote,easy,35:51.9,,,,
414,298,3028927,tot_remote,easy,33:18.4,,,,
415,397,4154962,temp_remote,easy,35:50.8,,,,
416,265,4488655,semi_remote,easy,26:38.8,,,,
417,67,4637089,not_remote,easy,31:13.6,,,,
418,166,5010796,tot_remote,medium,27:59.8,,,,
419,265,5522272,semi_remote,easy,17:23.6,,,,
420,199,4118877,tot_remote,easy,07:40.2,,,,
421,34,3052475,semi_remote,easy,29:51.1,,,,
422,5,5587649,not_remote,easy,32:25.5,,,,
423,5,4576725,tot_remote,easy,52:21.8,,,,
424,298,4085147,tot_remote,easy,41:17.5,,,,
425,166,4132152,temp_remote,easy,,,,,
426,232,4138034,tot_remote,easy,41:54.5,,,,
427,5,4122162,tot_remote,easy,24:25.4,,,,
428,232,4052181,semi_presence,easy,16:57.2,,,,
429,67,5326784,not_remote,easy,09:19.7,,,,
430,166,3789097,semi_presence,easy,,,,,
431,331,5033644,not_clear_remote,easy,23:43.0,,,,
432,166,5057030,tot_remote,easy,26:41.8,,,,
433,2,826111,tot_remote,easy,12:43.3,,,,
434,265,5326231,tot_remote,easy,51:06.3,,,,
435,265,5148137,tot_remote,easy,31:32.6,,,,
436,34,4141757,tot_remote,easy,30:04.0,,,,
437,265,5088234,semi_presence,medium,42:55.4,,,,
438,199,1934818,not_remote,easy,23:00.7,,,,
439,298,5624781,temp_remote,easy,28:11.3,,,,
440,133,5467723,tot_remote,easy,55:45.1,,,,
441,166,5626930,not_clear_remote,medium,,,,,
442,5,4187248,not_remote,medium,24:34.9,,,,
443,2,4097094,tot_remote,easy,58:26.8,,,,
444,298,4151122,semi_remote,easy,56:16.8,,,,
445,100,4151476,not_remote,medium,24:09.6,,,,
446,2,4340545,tot_remote,easy,23:40.3,,,,
447,3,5637082,tot_remote,easy,32:50.4,,,,
448,199,4096208,not_clear_remote,easy,03:22.4,,,,
449,67,5469382,semi_remote,hard,40:21.9,,,,
450,166,5548232,semi_remote,easy,,,,,
451,397,3403146,tot_remote,easy,,,,,
452,397,1287782,not_remote,easy,,,,,
453,298,4654899,tot_remote,easy,13:23.4,,,,
454,2,5191130,tot_remote,easy,16:01.3,,,,
455,67,3370825,not_remote,hard,27:30.1,,,,
456,34,5407720,not_clear_remote,easy,24:28.8,,,,
457,331,4433417,tot_remote,easy,09:20.3,,,,
458,166,5301965,tot_remote,easy,39:46.0,,,,
459,67,5494353,semi_remote,easy,58:16.4,,,,
460,397,3713033,not_remote,easy,38:54.6,,,,
461,133,5302371,not_clear_remote,hard,42:44.7,,,,
462,331,1300923,not_clear_remote,easy,56:52.5,,,,
463,34,2774427,not_remote,easy,23:40.8,,,,
464,265,5572412,tot_remote,easy,56:33.9,,,,
465,265,4215429,tot_remote,medium,03:59.0,,,,
466,166,4076185,not_clear_remote,hard,00:46.9,,,,
467,199,5146250,not_remote,easy,,,,,
468,331,3552619,tot_remote,easy,27:34.0,,,,
469,5,4038145,temp_remote,easy,30:09.2,,,,
470,397,5560506,temp_remote,easy,08:39.3,,,,
471,133,4283307,tot_remote,easy,14:00.5,,,,
472,166,5669375,semi_remote,medium,04:11.9,,,,
473,331,4054188,semi_presence,easy,45:01.3,,,,
474,5,5319863,semi_presence,easy,17:27.6,,,,
475,166,4073936,tot_remote,medium,46:14.8,,,,
476,133,5569201,semi_presence,easy,23:03.2,,,,
477,199,5063213,not_remote,medium,42:22.5,,,,
478,265,5424012,semi_presence,medium,57:07.5,,,,
479,3,4298965,semi_remote,easy,29:50.0,,,,
480,166,5488873,not_remote,hard,39:02.5,,,,
481,34,4040496,not_remote,easy,49:48.9,,,,
482,34,4045967,not_remote,easy,07:49.9,,,,
483,232,5518070,tot_remote,easy,,,,,
484,2,2022307,not_remote,easy,33:50.9,,,,
485,298,2970648,tot_remote,easy,47:28.0,,,,
486,100,5577019,semi_remote,easy,41:50.2,,,,
487,199,4198302,semi_presence,easy,25:55.6,,,,
488,232,4040962,tot_remote,easy,00:33.2,,,,
489,232,4656002,tot_remote,easy,,,,,
490,232,4095136,temp_remote,easy,36:01.8,,,,
491,232,5608610,tot_remote,easy,,,,,
492,100,2456766,tot_remote,medium,23:51.3,,,,
493,3,4085724,tot_remote,easy,10:10.9,,,,
494,331,4269401,tot_remote,easy,51:23.0,,,,
495,133,3773543,not_remote,hard,16:26.7,,,,
496,232,4082085,tot_remote,easy,25:18.7,,,,
497,2,4111939,tot_remote,easy,46:29.7,,,,
498,67,5462967,not_clear_remote,medium,00:10.2,,,,
499,331,5286086,semi_remote,easy,29:50.7,,,,
500,199,5462833,not_clear_remote,easy,39:08.1,,,,
501,5,4225835,not_remote,easy,31:14.3,,,,
502,166,5534708,semi_remote,easy,46:52.9,,,,
503,67,3957547,semi_presence,medium,34:04.1,,,,
504,265,5014239,semi_presence,medium,01:27.1,,,,
505,67,4080151,tot_remote,easy,36:50.4,,,,
506,3,4089763,tot_remote,easy,45:13.4,,,,
507,166,4131805,semi_remote,medium,41:03.3,,,,
508,397,4585061,not_remote,easy,35:19.6,,,,
509,298,5227257,not_remote,easy,16:03.6,,,,
510,34,3353148,semi_presence,easy,24:56.0,,,,
511,265,4182902,temp_remote,easy,59:59.4,,,,
512,34,4087866,temp_remote,easy,50:28.4,,,,
513,298,4094882,tot_remote,medium,56:21.3,,,,
514,298,4064160,temp_remote,medium,58:32.3,,,,
515,100,5594277,semi_remote,easy,42:51.8,,,,
516,67,951707,tot_remote,easy,54:48.0,,,,
517,298,5557597,semi_remote,medium,53:01.0,,,,
518,5,4249095,not_clear_remote,easy,04:17.4,,,,
519,232,4540101,tot_remote,easy,16:29.8,,,,
520,166,4383740,tot_remote,easy,07:36.5,,,,
521,232,3862466,not_clear_remote,medium,,,,,
522,331,5187771,not_clear_remote,easy,15:20.1,,,,
523,298,1016474,not_remote,easy,44:40.0,,,,
524,34,4538128,semi_remote,easy,12:12.3,,,,
525,3,4539982,tot_remote,easy,10:23.7,,,,
526,265,4428848,tot_remote,easy,17:20.8,,,,
