,avisoid,empresaid,avisofechapublicacion,avisovacante,mostrarsueldo,avisoexperiencia,expiracion,dias,avisorepublicacion,avisocargo,areanombre,actividadempresanombre,avisocuerpo,disponibilidadnombre,avisoduracioncont,avisolugartrabajo,gradoescolarnombre,situacionestudios,avisorequisitos,carreras,estado,endpagado_o_gratuito,nivelnombre,carreras_array,sueldoestimado,_merge,bucket1,bucket2,bucket3,bucket4,similars
18,203455.0,44231,2008-01-02,40.0,0.0,1.0,2008-04-01 00:00:00,90,0,Ejecutivo de Soporte Telefonico,Telecomunicaciones,Automotriz ,"El cargo implica atender llamadas telefónicas de clientes que requieren soporte técnico de redes. El ejecutivo debe conocer, conceptos tales cómo IP, Hosting, comandos a nivel DOS, etc.        - El postulante debe vivir en las comunas del radio urbano de la región metropolitana, debido a que a partir de las 22:00 horas se envía al ejecutivo en móvil a domicilio, y fuera de este radio no hay cobertura de móviles.    -Deseable formación en áreas de Atención al Cliente    -Experiencia laboral mínima de 6 meses.    -Experiencia en Atención Telefónica mínima de 6 meses    -Deseable experiencia en empresas de servicios de Call Center.    -Estudios Técnicos en redes y telecomunicaciones    - Disponibilidad para trabajar en turnos rotativos de mañana tarde o noche, de lunes a domingo. (los turnos son de 36 horas semanales, lo que implica 6 horas de trabajo diarias más el tiempo de colación)    Se ofrece cargo de ejecutivo de soporte Call Center prestando servicios para empresa líder a nivel latinoamericano.    Proceso de capacitación de 12 días (una vez aprobada, se paga con la primera renta un bono por aprobar capacitación)",Por Turnos,Por proyecto,Santiago Centro,Técnico profesional superior,Indiferente,"-Enseñanza tecnica completa

-Mayor de 18 años",[Telecomunicaciones] - ,Desactivo,Gratuito,Nivel técnico,,220000.0,Matched (3),0,0,1,0,[17]
28,203798.0,23979,2008-01-03,1.0,0.0,3.0,2008-04-02 00:00:00,90,0,ENCARGADO DE PROYECTO,Otra Área,Arquitectura / Diseño / Decoración,"Se requiere profesional  para ocupar cargo en el área de extensión, cuyo objetivo será constituir y aportar a la  implementación y gestión de los nuevos proyectos de responsabilidad social, planteados en el plan de comunicación  y marketing de la Fundación. Dentro de las principales funciones se incluyen crear y desarrollar Seminarios de Educación en regiones y Santiago, organizar premios  educacionales regionales;  y apoyar en la línea de posicionamiento público de la Fundación a través de diferentes medios.  Para ello, buscamos personas con capacidad de trabajo en equipo, habilidades de gestión y de  concertar objetivos comunes, apoyando el logro de las metas de la organización.",Jornada Completa,,Providencia,Universitaria,Indiferente,"Experiencia  en gestión de programas sociales, conocimientos de políticas públicas, articulación de iniciativas público-privadas de colaboración, conocimiento y manejo comunicacional.
Asimismo, requiere manejo de excel medio y disponibilidad de viajes a terreno.",[Trabajo Social / Servicio Social] - ,Desactivo,Pagado,Nivel usuario avanzado,,1100000.0,Matched (3),0,0,1,0,[448]
35,204131.0,3752,2008-01-03,1.0,0.0,,2008-04-02 00:00:00,90,0,INGENIERO CIVIL INDUSTRIAL,Comercial,Agrícola / Ganadera,"Empresas requiere contratar Ingeniero Civil Industrial para el cargo de Analista de Inteligencia Comercial.    Las funciones que debe desempeñar son; manejo de base de datos complejas, análisis de datos, confección de reportes y presentación de los mismos en público, participación en el proceso de planificación de compra en la empresa y tareas afines.",Jornada Completa,,Santiago,Universitaria,Indiferente,"- Disponibilidad para trabajar en horario de oficina
- Recién egresado.
- Manejo avanzado de excel.
- Manejo de vissual basic.
- Manejo de acces",[Ingeniería Industrial] - ,Desactivo,Pagado,Nivel profesional,,700000.0,Matched (3),1,0,0,0,[69]
37,204350.0,25595,2008-01-04,1.0,0.0,3.0,2008-04-03 00:00:00,90,0,Encargado de Inventario Local Easy Alto Las Condes,Auditoría,Agrícola / Ganadera,"Será responsable de:  Coordinar y participar en lo inventarios físicos. Realizar informes periódicos de las validaciones y auditorías de movimientos de mercaderías realizadas. Analizar causas de las diferencias, tomar medidas correctivas y participar como asesor de la gerencia.  Velar por el cumplimiento de los procedimientos de la compañía.",Jornada Completa,,La dehesa,Técnico profesional superior,Indiferente,"Formación acorde al cargo
Experiencia en el área",,Desactivo,Pagado,Nivel usuario avanzado,,350000.0,Matched (3),1,0,0,0,"[259, 363, 787, 1549, 2124]"
39,204595.0,20423,2008-01-04,4.0,1.0,,2008-04-03 00:00:00,90,0,Practica Prof. Técnico en Automatización y Control Industria,Operaciones,Consultoria / Asesoría,"Henkel es una Compañía Multinacional con presencia en 125 países, opera en tres áreas de Negocio estratégicas: Cuidado del Hogar, Cuidado u Adhesivos Selladores y Tratamiento de Superficies, las cuales están organizadas en tres sectores de negocio que operan globalmente.",Práctica Profesional,6 meses,"Laguna Sur 9551, Pudahuel",Técnico profesional superior,Indiferente,"Buscamos profesionales egresados de la carrera de Técnico de Nivel Superior en Automatización y Control Industrial, para realizar su práctica profesional en la Gerencia de Operaciones, por un período de 6 meses. Inglés avanzado deseable.

Entre los beneficios a los estudiantes en práctica ofrecemos almuerzo libre de costo en instalaciones de la empresa, y traslado desde y hacia estaciones de la línea 1 del metro en dirección a nuestra planta.

Postulantes ya titulados y que estén en busca de trabajo no serán considerados para esta proceso.",[Técnico / Tecnólogo / Técnico Superior] - ,Desactivo,Pagado,Nivel usuario,,150000.0,Matched (3),0,0,1,0,"[40, 41, 47, 48, 117, 949, 952, 1217, 1218, 1291]"
40,204603.0,20423,2008-01-04,1.0,1.0,,2008-04-03 00:00:00,90,0,Practica Profesional Ingeniero Informatica o Ejecucion,Operaciones,Consultoria / Asesoría,"Henkel es una Compañía Multinacional con presencia en 125 países, opera en tres áreas de Negocio estratégicas: Cuidado del Hogar, Cuidado u Adhesivos Selladores y Tratamiento de Superficies, las cuales están organizadas en tres sectores de negocio que operan globalmente.",Práctica Profesional,6 meses,"Pudahuel, Santiago",Universitaria,Indiferente,"Buscamos profesionales egresados de la carrera de Ingeniería en Informática o Ingeniería Ejecución en Informática, para realizar su práctica profesional en la Gerencia de Operaciones, por un período de 6 meses. Inglés avanzado deseable.
  
  Entre los beneficios a los estudiantes en práctica ofrecemos almuerzo libre de costo en instalaciones de la empresa, y traslado desde y hacia estaciones de la línea 1 del metro en dirección a nuestra planta.
  
  Postulantes ya titulados y que estén en busca de trabajo no serán considerados para esta proceso.",,Desactivo,Pagado,Nivel usuario avanzado,,150000.0,Matched (3),0,0,1,0,"[39, 41, 47, 48, 117, 949, 952, 1217, 1218, 1291]"
41,204606.0,20423,2008-01-04,1.0,1.0,,2008-04-03 00:00:00,90,0,Practica Profesional Ingeniería Ejecución en Ambiente,Operaciones,Consultoria / Asesoría,"Henkel es una Compañía Multinacional con presencia en 125 países, opera en tres áreas de Negocio estratégicas: Cuidado del Hogar, Cuidado u Adhesivos Selladores y Tratamiento de Superficies, las cuales están organizadas en tres sectores de negocio que operan globalmente.",Práctica Profesional,3 meses,"Pudahuel, Santiago",Universitaria,Indiferente,"Buscamos profesionales egresados de la carrera de Ingeniería de Ejecución en Ambiente  para realizar su práctica profesional en la Gerencia de Operaciones, por un período de 3 meses. Inglés avanzado deseable.
  
  Entre los beneficios a los estudiantes en práctica ofrecemos almuerzo libre de costo en instalaciones de la empresa, y traslado desde y hacia estaciones de la línea 1 del metro en dirección a nuestra planta.
  
  Postulantes ya titulados y que estén en busca de trabajo no serán considerados para esta proceso.",[Ingeniería de Ejecución] - ,Desactivo,Pagado,Nivel usuario,,150000.0,Matched (3),0,0,1,0,"[39, 40, 47, 48, 117, 949, 952, 1217, 1218, 1291]"
45,205071.0,4870,2008-01-07,4.0,0.0,1.0,2008-04-06 00:00:00,90,0,Ejecutivo Servicio al Cliente Pucón  (Presencial),Servicio al Cliente,Arquitectura / Diseño / Decoración,"Importante empresa de telecomunicaciones requiere contratar a los mejores Ejecutivos de Servicio al Cliente.  Sus principales funciones son:   Atención y resolución de solicitudes complejas de clientes cara a cara en lo relativo a los productos y servicios prestados por la empresa.   Procurar que el primer contacto del cliente con la empresa sea cordial y personalizado, de acuerdo al protocolo de atención definido.",Jornada Completa,,Pucón,Técnico medio/ colegio técnico,Indiferente,"Habilidad para transmitir conocimientos específicos. 
Facilidad para relaciones interpersonales, empatía y extroversión.
Habilidad para trabajar en equipo. 
Actitud de servicio y orientación al cliente. 
Tolerancia a la presión y adaptación al cambio. 
Capacidad para trabajar en forma autónoma y alto nivel de concentración.",[Turismo  / Administración en Turismo] - ,Desactivo,Pagado,Nivel usuario avanzado,,0.0,Matched (3),1,0,0,0,"[176, 233, 347, 385, 386, 391, 400, 407, 429, 592, 622, 989, 1119, 1120, 1121, 1122, 1123, 1124, 1125, 1126, 1127, 1128, 1129, 1132, 1133, 1134, 1135, 1136, 1137, 1166, 1192, 1193, 1195, 1219, 1276, 1277, 1278, 1283, 1290, 1294, 1391, 1434, 1654, 2123, 2519, 2520, 2527, 3014, 3015, 3016, 3119]"
47,205153.0,20423,2008-01-07,1.0,1.0,,2008-04-06 00:00:00,90,0,Practica Profesional Analista Programador,Operaciones,Consultoria / Asesoría,"Henkel es una Compañía Multinacional con presencia en 125 países, opera en tres áreas de Negocio estratégicas: Cuidado del Hogar, Cuidado u Adhesivos Selladores y Tratamiento de Superficies, las cuales están organizadas en tres sectores de negocio que operan globalmente",Práctica Profesional,6 meses,"Pudahuel, Santiago",Técnico profesional superior,Indiferente,"Buscamos profesionales egresados de la carrera de Analista Programador para realizar su práctica profesional en la Gerencia de Operaciones, por un período de 6 meses. Inglés avanzado deseable.
  
 Entre los beneficios a los estudiantes en práctica ofrecemos almuerzo libre de costo en instalaciones de la empresa, y traslado desde y hacia estaciones de la línea 1 del metro en dirección a nuestra planta.
  
 Postulantes ya titulados y que estén en busca de trabajo no serán considerados para esta proceso.",,Desactivo,Pagado,Nivel usuario avanzado,,150000.0,Matched (3),0,0,1,0,"[39, 40, 41, 48, 117, 949, 952, 1217, 1218, 1291]"
48,205166.0,20423,2008-01-07,1.0,1.0,,2008-04-06 00:00:00,90,0,Practica Profesional Contador Auditor,Contabilidad,Consultoria / Asesoría,"Henkel es una Compañía Multinacional con presencia en 125 países, opera en tres áreas de Negocio estratégicas: Cuidado del Hogar, Cuidado u Adhesivos Selladores y Tratamiento de Superficies, las cuales están organizadas en tres sectores de negocio que operan globalmente",Práctica Profesional,6 meses,"Pudahuel, Santiago",Técnico profesional superior,Indiferente,"Buscamos profesionales egresados de la carrera de COntador Auditor para realizar su práctica profesional en la Gerencia de Operaciones, por un período de 6 meses. Inglés avanzado deseable.
  
  Entre los beneficios a los estudiantes en práctica ofrecemos almuerzo libre de costo en instalaciones de la empresa, y traslado desde y hacia estaciones de la línea 1 del metro en dirección a nuestra planta.
  
 Postulantes ya titulados y que estén en busca de trabajo no serán considerados para esta proceso.",,Desactivo,Pagado,Nivel usuario,,150000.0,Matched (3),0,0,1,0,"[39, 40, 41, 47, 117, 949, 952, 1217, 1218, 1291]"
51,205475.0,17036,2008-01-07,1.0,0.0,5.0,2008-04-06 00:00:00,90,0,CONTADOR AUDITOR-TESORERO,Finanzas,Consumo masivo,"Se requiere contratar persona para el cargo de tesorería en Depto. de Adm. y finanzas. El cargo requiere estudios de contador general o auditor, con un minimo de 5 años de experiencia en temas de Tesorería, con habilidades para trabajo en equipo, tolerar la presión, orientarse al detalle y a la calidad, sin perder de vista el entregar un buen servicio. Se ofrece estabilidad y proyección en la empresa.  Favor enviar pretencion de renta junto con su CV al mail: rh.chile@ge.com.",Jornada Completa,,SANTIAGO,Técnico medio/ colegio técnico,Indiferente,MINIMO 5 AÑOS DE EXPERIENCIA EN CARGO SIMILAR,[Contador General / Contabilidad] - ,Desactivo,Gratuito,Nivel usuario,,900000.0,Matched (3),1,0,0,0,[261]
61,205989.0,6618,2008-01-08,2.0,1.0,,2008-04-07 00:00:00,90,0,Ingeniero de Business Intelligence,Computación e Informática,Aeronaves / Astilleros,"Ingeniero a cargo del desarrollo de proyectos de análisis de diversos tipos de datos, especialmente referentes a carteras de clientes, a partir de los cuales se pueda obtener información valiosa que permita ayudar a resolver problemáticas de negocio y apoyar la toma de decisiones. Para lograr este objetivo se utilizan diversas técnicas estadísticas y de inteligencia de negocios, por lo cual se capacitará en su uso a la persona seleccionada.",Jornada Completa,,Ciudad Empresarial,Universitaria,Indiferente,"Es fundamental que la persona posea una gran proactividad, ganas de aprender y sea capaz de adaptarse a un ritmo de trabajo flexible y dinámico. Junto a ello es ideal que la persona cuente con alguna experiencia en bases de datos.",[Ingeniería Industrial] - ,Desactivo,Gratuito,Nivel usuario avanzado,,800000.0,Matched (3),0,0,0,1,[509]
69,206412.0,3752,2008-01-10,1.0,0.0,,2008-04-09 00:00:00,90,0,analista de inteligencia de negocios,Comercial,Agrícola / Ganadera,"Empresas requiere contratar Ingeniero Civil Industrial para el cargo de Analista de Inteligencia Comercial.      Las funciones que debe desempeñar son; manejo de base de datos complejas, análisis de datos, confección de reportes y presentación de los mismos en público, participación en el proceso de planificación de compra en la empresa y tareas afines.",Jornada Completa,,santiago,Universitaria,Indiferente,"Estudios Mínimos : Profesional 

Carrera :  1.- Ingeniería Civil Industrial / Ingeniería Industrial
 Requisitos Mínimos : - Disponibilidad para trabajar en horario de oficina
  - Recién egresado.
  - Manejo avanzado de excel.
  - Manejo de vissual basic.
  - Manejo de acces",[Ingeniería Civil] - ,Desactivo,Pagado,Nivel profesional,,700000.0,Matched (3),1,0,0,0,[35]
75,206814.0,10834,2008-01-11,1.0,0.0,3.0,2008-04-10 00:00:00,90,0,Lider de Proyecto,Computación e Informática,Banca / Financiera ,"La Gerencia de Seguridad Informática requiere Líder de Proyecto, siendo responsable de asesorar desde el punto de vista de seguridad informática a las unidades de negocio del Holding en el marco de proyectos que éstas lleven a cabo.",Jornada Completa,,Santiago,Técnico profesional superior,Indiferente,"1.- Más de 3 años de experiencia cargo similar.
2.-Profesional titulado (Ingeniero Comercial, Contador Auditor, Ingeniero en Ejecución o carrera afín)
3.-Experiencia en el área Financiera y Bancaria en la administración y gestión de proyectos.
4.- Conocimiento en aspectos técnicos de seguridad informática como p.ej. Active Directory, Acceso remoto, Seguridad Perimetral, Conectividad, (VPN, Enlace punto a Punto)",[Ingeniería] - ,Desactivo,Pagado,Nivel técnico,,800000.0,Matched (3),0,1,0,0,[355]
82,207027.0,11758,2008-01-11,2.0,0.0,6.0,2008-04-10 00:00:00,90,0,Contadora,Contabilidad,Consumo masivo,"Empresa de aditivos y lubricantes alemanes para automóviles requiere contratar a Contadora General para efectuar los procesos de contabilidad en la empresa y Encargada de Cobranzas de clientes y créditos.    Se ofrece:  • Sueldo acorde a mercado  • Contrato indefinido al cuarto mes  • Uniforme, almuerzo  • Seguro de vida y seguro complementario de salud",Jornada Completa,indefinido,Providencia,Técnico medio/ colegio técnico,Indiferente,"•Mujer entre 30 y 42 años
•Estudios superiores técnicos de contabilidad general 
•Al menos siete años de experiencia en el área 
•Se valora actitud, compromiso y flexibilidad
•Se requiere una persona responsable, ordenada",[Contador General / Contabilidad] - ,Desactivo,Gratuito,Nivel usuario,,500000.0,Matched (3),1,0,0,0,[83]
83,207034.0,5895,2008-01-11,2.0,0.0,6.0,2008-04-10 00:00:00,90,0,Contadora General,Contabilidad,Consumo masivo,"Empresa de aditivos y lubricantes alemanes para automóviles requiere contratar a Contadora General para efectuar los procesos de contabilidad en la empresa.  Se ofrece:  •Sueldo acorde a mercado  •contrato indefinido al cuarto mes  •uniforme, almuerzo  •seguro de vida y seguro complementario de",Jornada Completa,,Providencia,Técnico medio/ colegio técnico,Indiferente,"•Mujer entre 30 y 40 años
•Estudios superiores técnicos de contabilidad general 
•Al menos siete años de experiencia en el área 
•Se valora actitud, compromiso y flexibilidad
•Se requiere una persona responsable, ordenada",[Contador Auditor] - ,Desactivo,Gratuito,Nivel usuario,,500000.0,Matched (3),1,0,0,0,[82]
86,207293.0,34236,2008-01-12,1.0,,,2008-01-26 00:00:00,14,0,Abogados ,Otra Área,Aeronaves / Astilleros,"<P>Las bases del proceso se encontrarán disponibles entre el 14 y el 18 de enero, ambas fechas inclusive, en el sitio Internet de la Tesorería General de la República:<BR><A href=""http://www.tesoreria.cl/"">http://www.tesoreria.cl/</A></P>  <P>Aviso publicado en cuerpo E, página 17.</P>",Jornada Completa,,,,Indiferente,• Sin requisitos espeficicos.,[Abogacía / Derecho / Leyes] - ,Desactivo,Gratuito,,,,Matched (3),1,0,0,0,"[87, 88]"
