,avisoid,empresaid,avisofechapublicacion,avisovacante,mostrarsueldo,avisoexperiencia,expiracion,dias,avisorepublicacion,avisocargo,areanombre,actividadempresanombre,avisocuerpo,disponibilidadnombre,avisoduracioncont,avisolugartrabajo,gradoescolarnombre,situacionestudios,avisorequisitos,carreras,estado,endpagado_o_gratuito,nivelnombre,carreras_array,sueldoestimado,_merge,bucket1,bucket2,bucket3,bucket4,similars
60,509608.0,619651,2010-01-12,10.0,0.0,0.0,2010-03-16 00:00:00,63,0,Asistente de gestion,Administración,Agropecuaria ,"URGENTE
Solicito personas en area de assistente de gestion que sea responsable, buena presentaciòn, con o sin experienca.
Horario flexible de lunes a viernes, opportunidad de crecimiento a corto plazo.
Apoye empresa en reclutamiento y selecciòn de personal.
Interesados comunicar con Lic.Marc
rec.humanos.sandrine@gmail.com
(222)409 001 4",Media Jornada,Indefinito,Puebla,Preparatoria,Indiferente,con y sin experienca,,Desactivo,Pagado,Ninguno,,7000.0,Matched (3),0,0,0,1,"[55, 61, 62, 63, 64, 264, 265, 266, 267, 268, 269]"
61,509609.0,619651,2010-01-14,5.0,0.0,0.0,2010-03-15 00:00:00,60,1,Asistente de capturista,Administración,Agropecuaria ,"URGENTE
Solicito personas en area de assistente de capturista que sea responsable, buena presentaciòn, con o sin experienca.
Horario flexible de lunes a viernes, opportunidad de crecimiento a corto plazo.
Apoye empresa en reclutamiento y selecciòn de personal.
Interesados comunicar con Lic.Marc
rec.humanos.sandrine@gmail.com
(222)409 001 4",Media Jornada,Indefinito,Puebla,Licenciatura,Indiferente,con o sin experienca,,Desactivo,Pagado,Ninguno,,7000.0,Matched (3),0,0,0,1,"[55, 60, 62, 63, 64, 264, 265, 266, 267, 268, 269]"
62,509611.0,619651,2010-01-14,3.0,0.0,0.0,2010-03-15 00:00:00,60,1,comunicologos,Administración,Banca / Financiera ,"URGENTE
Solicito personas en area de comunicologos que sea responsable, buena presentaciòn, con o sin experienca.
Horario flexible de lunes a viernes, opportunidad de crecimiento a corto plazo.
Apoye empresa en reclutamiento y selecciòn de personal.
Interesados comunicar con Lic.Marc
rec.humanos.sandrine@gmail.com
(222)409 001 4",Media Jornada,Indefinito,Puebla,Preparatoria,Indiferente,con y sin experienca,,Desactivo,Pagado,Ninguno,,6000.0,Matched (3),0,0,0,1,"[55, 60, 61, 63, 64, 264, 265, 266, 267, 268, 269]"
63,509614.0,619651,2010-01-14,3.0,0.0,0.0,2010-03-15 00:00:00,60,1,Psicologos,Administración,Aeronaves / Astilleros,"URGENTE
Solicito personas en area de Psicologos que sea responsable, buena presentaciòn, con o sin experienca.
Horario flexible de lunes a viernes, opportunidad de crecimiento a corto plazo.
Apoye empresa en reclutamiento y selecciòn de personal.
Interesados comunicar con Lic.Marc
rec.humanos.sandrine@gmail.com
(222)409 001 4",Media Jornada,Indefinito,Puebla,Preparatoria,Próximo a graduarse,con o sin experienca,,Desactivo,Pagado,Ninguno,,8000.0,Matched (3),0,0,0,1,"[55, 60, 61, 62, 64, 264, 265, 266, 267, 268, 269]"
64,509616.0,619651,2010-01-14,3.0,0.0,0.0,2010-03-15 00:00:00,60,1,Arquitecto,Otra Área,Aeronaves / Astilleros,"URGENTE
Solicito personas en area de arquitecto que sea responsable, buena presentaciòn, con o sin experienca.
Horario flexible de lunes a viernes, opportunidad de crecimiento a corto plazo.
Apoye empresa en reclutamiento y selecciòn de personal.
Interesados comunicar con Lic.Marc
rec.humanos.sandrine@gmail.com
(222)409 001 4",Media Jornada,Indefinito,Puebla,Preparatoria,Indiferente,con o sin experienca,,Desactivo,Pagado,Ninguno,,6000.0,Matched (3),0,0,0,1,"[55, 60, 61, 62, 63, 264, 265, 266, 267, 268, 269]"
68,510271.0,4186,2010-04-11,40.0,0.0,1.0,2010-06-10 00:00:00,60,20,Soporte Técnico  Call Center,Comercial,Aeronaves / Astilleros,"Call Center requiere contratar Ejecutivos de Soporte Técnico, para plataforma de atención al cliente de Internet banda ancha.
Se requieren personas con disponibilidad Completa (45 horas semanales)y parcial (35 horas semanales). Para trabajar en turnos rotativos 7 x 24.

Se ofrece estabilidad laboral y sueldo de:

45 horas semanales: Mínimo de$186.000 líq. y máximo de $286.000 líq., compuesto por fijo más variable.

35 horas: Mínimo de $150.000 líq. y máximo 230.000 líq., compuesto por fijo más variable 

",Jornada Completa,Indefinido,Santiago Centro,Técnico medio/ colegio técnico,Egresado,"Enseñanza media completa. 
Conocimientos técnicos en el área computacional, adquiridos por medio de estudios formales o de forma autodidacta. 
Experiencia en cargo similar de al menos 6 meses.
Disponibilidad para trabajar en sistema de turnos rotativos.",,Desactivo,Pagado,Nivel usuario avanzado,,250000.0,Matched (3),1,0,0,0,"[620, 621, 676, 677, 1155, 1209, 1210, 1307, 1311]"
71,510840.0,579622,2010-02-12,15.0,0.0,0.0,2010-04-13 00:00:00,60,1,BARISTAS EN HORARIO FLEXIBLE (30 o 45 hrs semanales),Ventas,Consultoria / Asesoría,"Si eres estudiante Universitario o de Instituto Técnico Profesional,  necesitas un trabajo por horas y quieres desempeñar un cargo interesante y dinámico, te invitamos a postular a Juan Valdés Café. 

Se ofrece:
- Integrar una empresa líder en su rubro.
- Oportunidades de desarrollo profesional.
- Renta acorde al mercado y Beneficios.",Por Turnos,No especifica,Santiago,Media,Indiferente,"- Alta disposición de servicio, dinamismo y procatividad.
- Disponibilidad para trabajar  30 o 45 horas semanales
- Disponibilidad para trabajar fines de semana",,Desactivo,Pagado,Nivel usuario,,111111.0,Matched (3),0,0,0,1,[319]
72,511555.0,604438,2010-01-11,2.0,0.0,3.0,2010-03-12 00:00:00,60,3,Operador,Logística,Energía / Electricidad / Electrónica,"Se requieren personas con Educación Media Completa, idealmente de Liceo Técnico Profesional, con al menos 3 años de experiencia laboral, con disponibilidad de realizar turnos rotativos.",Jornada Completa,Indefinido,La Calera,Media,Egresado,"Educación Media Completa, idealmente de Liceo Técnico Profesional
Al menos 3 años de experiencia laboral.
Conocimientos de nivel medio en Microsoft Office",,Desactivo,Pagado,Ninguno,,250000.0,Matched (3),1,0,0,0,[897]
78,512412.0,598505,2010-01-22,5.0,0.0,2.0,2010-03-23 00:00:00,60,4,Vendedor Instituciones V región,Ventas,Publicidad / Marketing / RRPP ,"Distribuidora Rabié busca incorporar para su canal de Ventas Instituciones a 5 personas para ocupar el cargo de Vendedor en la V región.
Se requieren personas con experiencia comprobable en el cargo, residencia en la V región y movilización propia.
Ofrecemos renta acorde al mercado, estabilidad laboral y capacitación constante.",Jornada Completa,Fijo - Indefinido,V región,Media,Graduado,"- Experiencia en el cargo de Vendedor Canal Instituciones.
- Residencia en la V región.
- Movilización propia.",,Desactivo,Pagado,Nivel usuario,,500000.0,Matched (3),1,0,0,0,[458]
83,514656.0,11758,2010-01-07,3.0,1.0,1.0,2010-04-07 00:00:00,90,0,relacionadores(as) publicos(as),Otra Área,Automotriz ,"Empresa multinacional con 10 años de operaciones en Chile,ofrece oportunidad de integrarse a su equipo de trabajo, con horarios flexibles capacitaciones gratuitas y posibilidad de trabajar desde casa.
Altos ingresos.
Solicite reunión a info@servimundo.com",Part Time,indefinido,Chile,Técnico profesional superior,Indiferente,Personas proactivas,[Relaciones Públicas] - ,Desactivo,Gratuito,Nivel usuario,,1000000.0,Matched (3),0,1,0,0,[127]
86,514972.0,11849,2010-01-02,4.0,0.0,0.0,2010-03-03 00:00:00,60,0,Representante de venta y servicio al cliente,Servicio al Cliente,Banca / Financiera ,"Empresa multinacional con 12 años de operaciones en Chile,busca personas claves y ofrece oportunidad de integrarse a su equipo de trabajo, con horarios flexibles capacitaciones gratuitas y posibilidad de trabajar desde casa.
",Part Time,Indefinido,Providencia,Universitaria,Indiferente," REQUISITOS MINIMOS:

- Edad: mayor de 18 años. 
- Se requiere de personas:

- proactivas, orientadas al logro de metas

- dinámicas y emprendedoras

- orientadas al servicio

- dispuestas a capacitarse jornada: completa y part time

",,Desactivo,Gratuito,Nivel usuario,,300000.0,Matched (3),0,1,0,0,"[207, 208]"
87,514973.0,7730,2010-01-02,8.0,0.0,0.0,2010-04-02 00:00:00,90,0,Representante de venta y servicio al cliente,Servicio al Cliente,Banca / Financiera ,"Empresa multinacional con 12 años de operaciones en Chile, busca personas claves para formar parte de su equipo de trabajo, con horarios flexibles y con la posibilidad de trabajar desde casa.",Part Time,Indefinido,Providencia,Universitaria,Indiferente," REQUISITOS MINIMOS:

- Edad: mayor de 18 años. 
- Se requiere de personas:

- proactivas, orientadas al logro de metas

- dinámicas y emprendedoras

- orientadas al servicio

- dispuestas a capacitarse jornada: completa y part time

",,Desactivo,Gratuito,Nivel usuario,,300000.0,Matched (3),0,1,0,0,"[88, 89]"
88,514974.0,12725,2010-01-02,5.0,0.0,0.0,2010-04-02 00:00:00,90,0,Representante de venta y servicio al cliente,Servicio al Cliente,Banca / Financiera ,"Empresa multinacional con 12 años de operaciones en Chile, requiere de personas claves para formar parte de su equipo de trabajo, con capacitaciones y horarios flexibles y la posibilidad de trabajar desde casa.",Part Time,Indefinido,Providencia,Universitaria,Indiferente," REQUISITOS MINIMOS:

- Edad: mayor de 18 años. 
- Se requiere de personas:

- proactivas, orientadas al logro de metas

- dinámicas y emprendedoras

- orientadas al servicio

- dispuestas a capacitarse jornada: completa y part time

",,Desactivo,Gratuito,Nivel usuario,,300000.0,Matched (3),0,1,0,0,"[87, 89]"
89,514976.0,41035,2010-01-02,10.0,0.0,0.0,2010-04-02 00:00:00,90,0,Representante de venta y servicio al cliente,Servicio al Cliente,Banca / Financiera ,"Empresa multinacional con 12 años de operaciones en Chile, requiere de personas claves para formar parte de su equipo de trabajo, con capacitaciones y horarios flexibles y la posibilidad de trabajar desde casa.",Part Time,Indefinido,Providencia,Técnico profesional superior,Indiferente,"REQUISITOS MINIMOS:

- Edad: mayor de 18 años. 
  Se requiere de personas:

- proactivas, orientadas al logro de metas

- dinámicas y emprendedoras

- orientadas al servicio

- dispuestas a capacitarse jornada: completa y part time
",,Desactivo,Gratuito,Nivel usuario,,300000.0,Matched (3),0,1,0,0,"[87, 88]"
90,514987.0,592525,2010-01-04,2.0,0.0,3.0,2010-01-09 00:00:00,5,0,ANALISTA FUNCIONAL,Computación e Informática,Agrícola / Ganadera,"Para Entidad Bancaria, seleccionaremos a Analista Funcional Semi-Senior de Sistemas, Procesos, Calidad, Planeamiento y Diseños de Procedimientos en general de las distintas líneas de Productos Activos y Pasivos. Elaboración de manuales de procedimiento. Relevamiento de tiempo de trabajo y productividad. Estamos orientados hacia postulantes que tenga experiencia preferentemente en estudios de primera línea especializados en el desarrollo de esta temática (Excluyente). Con formación Universitaria o estudiantes del último año (excluyente). Edad hasta 35 años. No será considerados aquellos CV que no cumplan con lo requerido precedentemente.",Jornada Completa,Efectivo,Capital Federal,Universitario,Graduado,Experiencia como Analista Funcional.,[Ingeniería en Informática / Sistemas] - ,Desactivo,Gratuito,Nivel usuario avanzado,,5500.0,Matched (3),0,0,1,0,"[358, 390, 456, 503, 727, 747, 766, 801, 827, 878, 893]"
91,515004.0,46806,2010-01-03,4.0,1.0,0.0,2010-02-02 00:00:00,30,0,Promotores(as) (Juvenil y senior),Otra Área,Ventas,"Empresa multinacional con 10 años de operaciones en Chile,ofrece oportunidad de integrarse a su equipo de trabajo, con horarios flexibles capacitaciones gratuitas y posibilidad de trabajar desde casa.
Altos ingresos.
",Part Time,indefinido,Chile,Técnico profesional superior,Indiferente,Personas serias y proactivas,,Desactivo,Gratuito,Nivel usuario,,1000000.0,Matched (3),0,1,0,0,"[92, 115, 116]"
92,515012.0,37044,2010-01-03,3.0,1.0,0.0,2010-04-04 00:00:00,91,0,Técnico en administración de empresas. Publicista,Otra Área,Aeronaves / Astilleros,"Empresa multinacional con 10 años de operaciones en Chile, ofrece oportunidad de integrarse a su equipo de trabajo, con horarios flexibles. Completo curso de capacitaciones gratuitas. Posibilidad de trabajar desde casa.
Altos ingresos.",Part Time,indefinido,Santiago,Técnico profesional superior,Indiferente,Personas proactivas.,[Técnico en Administración de Recursos Humanos] - ,Desactivo,Gratuito,Nivel usuario,,1000000.0,Matched (3),0,1,0,0,"[91, 115, 116]"
95,515114.0,6260,2010-01-04,2.0,0.0,3.0,2010-04-05 00:00:00,91,0,Research Associate (Retail Banking Analytics),Banca y Servicios Financieros,Agrícola / Ganadera,"The candidate would work in the Investment Research department, performing data extraction through clients’ databases using language such as SQL and use of ODBC drivers (in case of remote access). The candidate would be involved in data preparation activities, creating predictive models for targeting customers – supporting marketing function. 
- Understanding key risk metrics and performing adhoc portfolio analysis - supporting risk function
- Publishing monthly reports around key portfolio metrics
- Analyzing and preparing presentations from research data and Dashboard creation",Jornada Completa,indefinido,"Curauma, Valparaiso",Universitaria,Graduado,"- Degree in Industrial/Commercial Engineering, Statistics, Economics or Operations Research
- Good knowledge of MS Office, SQL and MS Access packages
- 1 year experience on SAS (preferred)
- Knowledge of SPSS
- Ability to analyze and synthesize the available data and bring out value-added insights to the clients
- Challenging current thinking by implementing new ways of working
- Ability to practice attentive and active listening skills
- Ability to complete task accurately
- Excellent communication skills",[Ingeniería Industrial] - ,Desactivo,Gratuito,Nivel profesional,,700000.0,Matched (3),0,1,0,0,"[96, 97, 98, 99]"
96,515117.0,7161,2010-01-04,2.0,0.0,3.0,2010-05-04 00:00:00,120,0,Research Associate (Retail Banking Analytics),Banca y Servicios Financieros,Agrícola / Ganadera,"The candidate would work in the Investment Research department, performing data extraction through clients’ databases using language such as SQL and use of ODBC drivers (in case of remote access). The candidate would be involved in data preparation activities, creating predictive models for targeting customers – supporting marketing function. A few other responsibilities would include:

- Understanding key risk metrics and performing adhoc portfolio analysis - supporting risk function
- Publishing monthly reports around key portfolio metrics
- Analyzing and preparing presentations from research data and Dashboard creation",Jornada Completa,indefinida,"Curauma, Valparaiso",Universitaria,Graduado,"- Degree in Industrial/Commercial Engineering, Statistics, Economics or Operations Research
- Ability to identify and solve issues effectively on time
- Good knowledge of MS Office, SQL and MS Access packages
- 1 year experience on SAS (preferred)
- Knowledge of SPSS
- Ability to analyze and synthesize the available data and bring out value-added insights to the clients
- Ability to ensure that tasks within areas of responsibility are completed in a timely manner
- Challenging current thinking by implementing new ways of working
- Ability to practice attentive and active listening skills",[Ingeniería Industrial] - ,Desactivo,Gratuito,Nivel profesional,,700000.0,Matched (3),0,1,0,0,"[95, 97, 98, 99]"
97,515124.0,9996,2010-01-04,2.0,0.0,3.0,2010-03-05 00:00:00,60,0,Research Associate (Retail Banking Analytics),Banca y Servicios Financieros,Agrícola / Ganadera,"The candidate would work in the Investment Research department, performing data extraction through clients’ databases using language such as SQL and use of ODBC drivers (in case of remote access). The candidate would be involved in data preparation activities, creating predictive models for targeting customers – supporting marketing function. A few other responsibilities would include:

- Understanding key risk metrics and performing adhoc portfolio analysis - supporting risk function
- Publishing monthly reports around key portfolio metrics
- Analyzing and preparing presentations from research data and Dashboard creation",Jornada Completa,indefinida,"Curauma, Valparaiso",Universitaria,Graduado,"- Degree in Industrial/Commercial Engineering, Statistics, Economics or Operations Research
- Ability to identify and solve issues effectively on time
- Good knowledge of MS Office, SQL and MS Access packages
- 1 year experience on SAS (preferred)
- Knowledge of SPSS
- Ability to analyze and synthesize the available data and bring out value-added insights to the clients
- Ability to ensure that tasks within areas of responsibility are completed in a timely manner
- Challenging current thinking by implementing new ways",[Ingeniería Comercial] - ,Desactivo,Gratuito,Nivel profesional,,700000.0,Matched (3),0,1,0,0,"[95, 96, 98, 99]"
98,515128.0,10761,2010-01-04,2.0,0.0,3.0,2010-03-05 00:00:00,60,0,Research Associate (Retail Banking Analytics),Banca y Servicios Financieros,Agrícola / Ganadera,"The candidate would work in the Investment Research department, performing data extraction through clients’ databases using language such as SQL and use of ODBC drivers (in case of remote access). The candidate would be involved in data preparation activities, creating predictive models for targeting customers – supporting marketing function. A few other responsibilities would include:

- Understanding key risk metrics and performing adhoc portfolio analysis - supporting risk function
- Publishing monthly reports around key portfolio metrics
- Analyzing and preparing presentations from research data and Dashboard creation",Jornada Completa,indefinida,"Curauma, Valparaiso",Universitaria,Graduado,"- Degree in Industrial/Commercial Engineering, Statistics, Economics or Operations Research
- Ability to identify and solve issues effectively on time
- Good knowledge of MS Office, SQL and MS Access packages
- 1 year experience on SAS (preferred)
- Knowledge of SPSS
- Ability to analyze and synthesize the available data and bring out value-added insights to the clients
- Ability to ensure that tasks within areas of responsibility are completed in a timely manner
- Challenging current thinking by implementing new ways of working
- Ability to practice attentive and active listening skills",[Marketing / Mercadotecnia] - ,Desactivo,Gratuito,Nivel profesional,,700000.0,Matched (3),0,1,0,0,"[95, 96, 97, 99]"
99,515133.0,7313,2010-01-04,2.0,0.0,3.0,2010-03-05 00:00:00,60,0,Research Associate (Retail Bank Analytics),Banca y Servicios Financieros,Agrícola / Ganadera,"The candidate would work in the Investment Research department, performing data extraction through clients’ databases using language such as SQL and use of ODBC drivers (in case of remote access). The candidate would be involved in data preparation activities, creating predictive models for targeting customers – supporting marketing function. A few other responsibilities would include:

- Understanding key risk metrics and performing adhoc portfolio analysis - supporting risk function
- Publishing monthly reports around key portfolio metrics
- Analyzing and preparing presentations from research data and Dashboard creation",Jornada Completa,indefinida,"Curauma, Valparaiso",Universitaria,Graduado,"- Degree in Industrial/Commercial Engineering, Statistics, Economics or Operations Research
- Ability to identify and solve issues effectively on time
- Good knowledge of MS Office, SQL and MS Access packages
- 1 year experience on SAS (preferred)
- Knowledge of SPSS
- Ability to analyze and synthesize the available data and bring out value-added insights to the clients
- Ability to ensure that tasks within areas of responsibility are completed in a timely manner
- Challenging current thinking by implementing new ways of working
- Ability to practice attentive and active listening skills",[Ingeniería Industrial] - ,Desactivo,Gratuito,Nivel profesional,,700000.0,Matched (3),0,1,0,0,"[95, 96, 97, 98]"
102,515270.0,36916,2010-01-04,8.0,,,2010-01-18 00:00:00,14,0,Oficial de los Servicios,Otra Área,Aeronaves / Astilleros,"Interesados enviar antecedentes a: Depto. Admisión, Dirección de Recursos Humanos, Casilla 242, Viña del Mar o entregar personalmente en: Dirección General del Personal de la Armada, Av. Jorge Montt N° 11.700, LAs Salinas, Viña del Mar. ",Jornada Completa,,,,,"Código 20100108
• Médicos Cirujanos
Se considerarán solamente las postulaciones de aquellos profesionales que cumplan con todos los requisitos publicado en el sitio Web www.armada.cl - ""Ingresa a la Armada"", ""Concursos Actuales"".",[Medicina ] - ,Desactivo,Gratuito,,,,Matched (3),1,0,0,0,"[103, 104]"
