,aviso,classification
432,"TÉCNICO MESA AYUDA Soprole busca técnico de mesa de ayuda, para brindar un eficiente soporte a los usuarios de la compañía. 
Dentro de sus funciones se encuentra recepcionar reportes de los usuarios, en base a software mesa de ayuda; asignar y documentar órdenes de servicios internas y con otras áreas; brindar soporte central y remoto y asegurar la ejecución de contratos de mantenimiento y garantías. Jornada Completa *Experiencia en funciones de mesas de ayuda y/o soporte usuario
*Experiencia de 1 año en el cargo 
*Conocimiento de sistemas Informáticos, software y Hardware básicos
*Vocación de Servicio
*Capacidad de trabajar en equipo
*Flexibilidad para trabajar en horarios discontinuos
 Renca",Not WFH
433,"Jefe de Marketing ¡Sé protagonista de tu carrera profesional, eres el talento que buscamos en AFP PlanVital para el cargo de Jefe de Marketing Digital! En este contexto de trabajo híbrido, sabemos lo importante que es trabajar en entornos colaborativos, con ideas innovadoras y que apunten a generar un cambio positivo tanto en la industria como en nuestro entorno más cercano. Si estás dispuesto a ser parte de esta transformación, no lo pienses más y postula aquí.

PlanVital es una Administradora de Fondos de Pensiones, experta en el rubro financiero, con una trayectoria de 40 años al servicio de nuestros afiliados y/o pensionados. Pertenecemos al grupo Generali, compañía global líder en la industria de seguros con 190 años de historia y presente en 50 países.

Ahora que ya sabes sobre nosotros, el plan es que conozcas tu futuro puesto.

- Desarrollar estrategias para levantar la necesidad de nuevas segmentaciones o mejoras en experiencias de clientes
- Desarrollar y dar seguimiento al plan de marketing anual de forma detallada de las acciones específicas
- Analizar y presentar información de resultados de las campañas del negocio
- Contribuir en el diseño del plan de campañas del negocio y definir la materialidad necesaria para su ejecución
- Desarrollar el presupuesto anual y monitorear su avance desde una perspectiva financiera, control de presupuesto y gastos, planificando y controlando la activida del área
- Identificar y gestionar nuevas campañas para cumplir objetivos de migración a canales digitales
- Supervisar que estrategia de SEO y SEM, a través de la gestión junto a Product Manager de página web del cumplimiento de los objetivos del canal
- Gestionar las campañas de conversión y búsqueda de marketing digital, monitoreando el desarrollo
- Participar del proceso de validación de campañas email y gráficas digitales, controlando el contenido y diseño de las propuestas
- Otras actividades encomendadas por la Gerencia, con el fin de alcanzar objetivos. Jornada Completa -Deseable 3 años de experiencia en Marketing Digital
-Desebale experiencia en rubro financiero o retail
-Ingeniería Comercial, Civil Industrial mención en Marketing, Publicista, Periodismo o carrera afín Metropolitana de Santiago",Not WFH
434,"Ejecutivo Comercial Seguro PART TIME Sector Poniente Seguros Falabella se encuentra actualmente en busca de Ejecutivos de Ventas Part Time para asesorar a los clientes en la elección de alternativas de protección y apoyándolos en todo momento, a través de una oferta atractiva. Debe transmitir de manera clara y precisa, los beneficios a los cuáles puede optar al contratar un seguro, otorgando un servicio completo e integral. 
Funciones:
1. Vender los productos de cada categoría del canal según las metas asignadas. 
2. Utilizar el abordaje de clientes en la tienda
3. Garantizar el cruce de productos a los clientes, tanto para Seguros Falabella como para las demás empresas del holding.

*Al postular serás notificado exclusivamente via mail sobre el estado de tu postulación. Part Time -Venta Intangible
-Ganas de ser parte del mundo Falabella Metropolitana de Santiago",Not WFH
457,Control Stock Antofagasta Nestlé Chile S.A. requeire para su Centro de Distribución de Antofagasta a Control Stock.<br /><br />Principal función: Mantener el control entre el stock físico y sistema SAP. Jornada Completa - Enseñanza media completa<br />- Al menos un año de experiencia en el área Antofagasta,Not WFH
466,"Desarrollador Fullstack Semi-Senior Rankmi es la plataforma para la gestión de talento y personas más grande de Chile y creciendo fuertemente en Latinoamérica y el mundo. Para más información wwwrankmicom. 

Contamos con más de 180 clientes en LATAM y procesamos grandes volúmenes de datos. Nuestros más de 450.000 usuarios nos exigen llegar cada vez más allá en el desarrollo de nuestra tecnología.
En el equipo de producto trabajarás en células ágiles llamadas tribus. Estas tribus están compuestas por Diseñadores, programadores, jefes de proyecto y Analistas de qa. Todo para poder llevar a cabo de manera integral el desarrollo de los distintos productos.

Estamos en búsqueda de desarrolladores para el puesto de Desarrollador Fullstack Semi-Senior. Debe tener experiencia y conocimientos so?lidos en programacio?n, estructuras de datos y con alta capacidad de entender requerimientos.

No buscamos expertos en cada lenguaje, buscamos personas increíbles que puedan aprender lo que sea y quieran ser lo mejor de lo mejor. Te sumaras a un equipo lleno de talento y ganas de crecer, tenemos en mente grandes proyectos 

Funciones específicas:
Participar activamente en reuniones de diseño de producto que permite analizar de manera profunda los requerimientos
Encargado de analizar y definir nuevas funcionalidades basado en los requerimientos analizados por cada tribu.
Realizar casos de uso con especial énfasis en la implementación a nivel lógico de las funcionalidades definidas.
Desarrollo de funcionalidades backend en Rails.
Desarrollo de test automáticos para las funcionalidades core.
 
Requerimientos específicos
Conocimiento al menos 3 años en Ruby on Rails, Django u otro framework afín
Conocimiento al menos 2 año en Angular o React
Conocimientos de Postgres (Consultas SQL nivel medio)
Control de versiones usando GIT.
Conocimiento de algoritmos y estructuras de datos que permitan modelar las realidades de las distintas empresas y productos

Además sigue sumando si conoces:

Uso de contenedores e imágenes docker
Infraestructura, ya sea sobre AWS, Heroku, GCP, etc
Herramientas de integración continua
Testing con rspec, jest o cucumber


Porque Rankmi

Técnicos
Aprende de los mejores. Estamos escribiendo el futuro
Trabajar con diversas tecnologías, como Python, Rails, Nodejs, Base de datos relacionales y no relacionales. y se eres seco en otras tecnologías y crees que puedes cambiar el mundo, te escuchamos
Estamos migrando a arquitectura de micro servicios, utilizando KUBERNETES, lo que como profesional TI te puede volver experto en conocimientos de nuevas tecnologías.

Beneficios y Compensación
Seguro complementario de salud y de vida, 100% financiado por Rankmi.
Caja de compensación
No dresscode. ¡Vístete como tú quieras!
Ambiente relajado y multicultural. ¡Relación cercana con jefatura y prontamente tendremos consola!
Amplias oficinas a pasos del metro Los Leones.
Oportunidad de desarrollo profesional en un entorno altamente innovador. Posibilidad de movilidad horizontal y vertical. 
Trabajamos con metodologías ágiles y equipos multidisciplinares. 
Un CodeKata cada semana en donde puedes aprender o enseñar cualquier tecnología que quieras conocer o enseñar. 
Planificamos Hackatones con premios, jueces y mucha pizza. ¡La próxima a fines de agosto, no te quedes fuera!
Desde el mes 3 puedes trabajar un día a la semana en modalidad Teletrabajo, previo acuerdo con tu Team leader.
Cada 15 días disfruta de un almuerzo con el equipo donde ¡Rankmi invita! ¡Acá te contamos las principales noticias y actualizaciones de la compañía!
Los sprint son llamados como la película de superhéroe el momento, cada mes vamos a ver la película ¡Rankmi invita!
Eventos extralaborales como after office y momentos para compartir en equipo.


En resumen
Win- Win
¡Te esperamos!
 Jornada Completa 
Requerimientos específicos
Conocimiento al menos 3 años en Ruby on Rails, Django u otro framework afín
Conocimiento al menos 2 año en Angular o React
Conocimientos de Postgres (Consultas SQL nivel medio)
Control de versiones usando GIT.
Conocimiento de algoritmos y estructuras de datos que permitan modelar las realidades de las distintas empresas y productos
 Providencia",WFH
470,"SUPERVISOR DE VENTAS AFP – V REGION Nuestro cliente, prestigiosa AFP, busca profesional de excelenciapara asumir el cargo de  SUPERVISOR VENTAS AFP.La  sede del cargo es Viña del Mar.

Orientamos nuestra búsqueda a profesional con al menos dos años de experiencia en supervisión de equipos de venta y gusto por trabajar bajo sistema de metas. Competencias tales como una alta orientación al logro y habilidades de comunicación son indispensables para un buen desempeño.

Las principales funciones del cargo son:

•	Supervisar y Controlar la gestión del equipo de agentes previsionales a cargo.
•	Supervisar la implementación y cumplimiento de las modificaciones y exigencias de normativas reguladas por la superintendencia de AFP y otros organismos fiscalizadores.
•	Ejecutar la validación de las operaciones comerciales de venta de productos, como traspasos, afiliaciones y ahorro previsional voluntario

Se ofrece integración a equipo de trabajo con excelente clima laboral.

 Jornada Completa Experiencia en el cargo  Viña del Mar",Not WFH
473,"Administrativo Contable o RRHH - Viña del Mar - Pre y Post Natal ¿Buscas generar impactos significativos con tu trabajo? ¿Te interesa la innovación y desarrollar tus habilidades de liderazgo?<br> <br>En Deloitte, encontrarás un espacio intelectualmente desafiante, diverso, inclusivo, y comprometido con su entorno, que potenciará el camino profesional que hoy desees emprender.<br> <br>Con un equipo multidisciplinario y una red global de expertos que comparten las mejores prácticas y experiencias del mercado, Deloitte se destaca por la entrega de un servicio de excelencia, conectado con las últimas tendencias, que ofrece a sus colaboradores un espacio de aprendizaje único donde se incentiva el liderazgo en todo nivel.<br> <br>Nos encontramos en búsqueda de las y los mejores profesionales para el cargo de Administrativo Contable o RRHH para unirse a nuestro equipo de servicios empresariales y ese puedes ser tú.<br> <br>Trabajo que harás como parte de nuestro equipo, participaras en la entrega de servicios y soluciones de auditoria de clase mundial a nuestros clientes. Además, serás parte de una comunidad global de profesionales motivados y experimentados, dispuestos a compartir y aprender todos los días. <br><br>Podrás:<br><br>•	Procesar la información recibida respecto de la contabilidad y/o remuneraciones de los respectivos clientes.<br>•	Mantener una comunicación constante y fluida, ya sea con el cliente y/o con el senior.<br>• Participar activamente en actividades de desarrollo profesional.	<br> <br>Requisitos<br>Habilidades técnicas requeridas:<br><br>•	Desde 3 años de experiencia profesional en servicios profesionales de contabilidad y/o remuneraciones para empresas<br>•	Título universitario en Administración de empresas, ingeniería comercial o carrera a fin.<br>•	Fuerte conocimiento y experiencia en lo siguiente: <br>- Contabilidad<br>- Remuneraciones o RRHH<br><br>¿Qué impacto quieres hacer?<br> <br>Nuestras ofertas laborales están abiertas a todos quienes, dentro del marco de la Ley de Inclusión, quieran formar parte de esta gran Firma, aportando con sus distintas capacidades y fortalezas, tanto humanas como profesionales. Mixta (Teletrabajo + Presencial) Desde 3 años de experiencia profesional en servicios profesionales de contabilidad y/o remuneraciones para empresas<br />Título universitario en Administración de empresas, ingeniería comercial o carrera a fin.<br />Fuerte conocimiento y experiencia en lo siguiente: <br />- Contabilidad<br />- Remuneraciones o RRHH Viña del Mar, Chile",Not WFH
483,"Ejecutivo o Ejecutiva de Camiones - Región del Bio Bio ¿Te ha pasado que tienes muchas buenas ideas, pero no puedes de llevarlas a cabo? <br /><br />En Volvo Group no solo tenemos buen café, también escuchamos a nuestras personas y les animamos a probar nuevas formas de encontrar soluciones innovadoras. Si te esfuerzas por liderar el cambio y quieres contribuir a un clima de trabajo en equipo, multifuncional donde somos responsables y están orgullosos(as) de los productos y soluciones, entonces esperamos que te unas a nuestro equipo.<br /><br />En Grupo Volvo trabajamos cada día por la Diversidad e Inclusión, asegurando la igualdad de oportunidades para todas las personas, independientemente de su sexo, edad, origen étnico y cultural, religión, discapacidad, orientación sexual u otros factores físicos o sociales; ya que creemos que favorece un alto compromiso de las personas que trabajan aquí y una mayor innovación y creatividad, elementos clave para un rendimiento sostenible en el tiempo.<br /><br />En Volvo Chile nos encontramos en búsqueda de un Ejecutivo o Ejecutiva de Camiones para la región del Bio Bio, quien tendrá como responsabilidad prospectar, desarrollar y fidelizar a clientes(as) nuevos(as) y actuales, con los más elevados estándares de calidad en orientación y servicio, con el objetivo de alcanzar las metas propuestas por la Gerencia Comercial.<br /><br />Principales responsabilidades:<br /><br />- Gestionar y administrar la cartera de clientes(as).<br />- Ingresar las actividades y oportunidades en sistema CRM, manteniendo actualizada la información de contacto de la cartera de clientes(as) en el sistema.<br />- Atender y asesorar al cliente(a) en el proceso de pre y post venta de camiones.<br />- Generar reuniones, acercamientos y visitas en terreno con los(as) clientes(as), con el objetivo de detectar sus necesidades para así llevar a cabo un negocio y fidelizar al cliente(a).<br />- Detectar, gestionar y concretar nuevas oportunidades de negocio. <br />- Definir planes y estrategias de trabajo, de acuerdo con las metas planteadas. Jornada Completa - Experiencia requerida de 3 años en cargos con similares características y del rubro.<br />- Conocimientos técnicos del producto y del rubro.<br />- Manejo de clientes de transporte<br />- Manejo intermedio de Microsoft office. ",Not WFH
496,"Ayudante de cocina Volante Reconocido Cadena de comida, requiere su staff un ayudante de cocina volante para que pueda ayudar a los diferentes locales de Santiago Centro, Providencia y Las Condes<br /><br />FUNCIONES<br />Realizar la preparaciones<br />Mantener orden y limpieza del local<br />Apoyar al maestro de cocina<br /><br />REQUISITOS:<br />- Experiencia de al menos 1 años en cocina<br />- Disponibilidad de trabajar en los sectores mencionados<br />- En caso de ser extranjero poseer la visa de residencia definitiva o rut temporario.<br /><br />SE OFRECE<br />Turno rotativo<br />Renta líquida de $350.000<br />Colación en el local<br />Bono de asistencia Jornada Completa - Experiencia de al menos 1 años en cocina<br />- Disponibilidad de trabajar en los sectores mencionados<br />- En caso de ser extranjero poseer la visa de residencia definitiva o rut temporario. ",Not WFH
502,"Sub Gerente de RR.HH - Faena Norte Grande Importante empresa prestadora de servicios a minería, se encuentra en búsqueda de Sub Gerente de RR.HH para importante faena en la zona norte del país.<br /><br />Funciones principales:<br /><br />Sera responsable de direccionar y coordinar la gestión de RR.HH para asegura la administración profesional de los RR.HH. en el contrato asignado, a fin de que esté alineados con las políticas Empresa, así como su cumplimiento. Facilitar y mantener la correcta aplicación de las Políticas y estrategias de RR.HH., en concordancia con la Legislación vigente. Realizar auditorías internas para medir el cumplimiento de legislación laboral y procesos es un asesor constante de la línea de supervisión, para que, en forma eficaz y eficiente, pueda tomar decisiones en torno a sus equipos de trabajo.<br /><br />Requisitos:<br />Ideal residencia entre Arica y Antofagasta<br />Titulado/a en Ingeniería en Administración de empresas, Ingeniería Comercial carrera afín<br />Experiencia entre 05 años en cargos similares<br />Experiencia comprobable en empresas prestadoras de servicios a la gran minería<br />Experiencia comprobable con alta dotación de personal<br />Disponibilidad para trabajar en jornada 4x3<br />Disponibilidad para trabajar a gran altitud geográfica<br />Disponibilidad inmediata<br /><br />Buscamos a los mejores talentos para incorporarse a nuestra compañía independiente del género, orientación sexual, situación de discapacidad, nacionalidad, edad, cultura y origen. Como empresa nos comprometemos a proporcionar a todos nuestros/as colaboradores/as la mejor experiencia de vida laboral.<br /><br />Nos declaramos una empresa Diversa e Inclusiva. Por Turnos Titulado/a en Ingeniería en Administración de empresas, Ingeniería Comercial carrera afín<br />Experiencia entre 05 años en cargos similares<br />Experiencia comprobable en empresas prestadoras de servicios a la gran minería<br />Experiencia comprobable con alta dotación de personal<br />Disponibilidad para trabajar en jornada 4x3<br />Disponibilidad para trabajar a gran altitud geográfica<br />Disponibilidad inmediata Faena",Not WFH
510,"Técnico Eléctrico de Nivel Medio - Puente Alto <br><span style=""font-size:16px"">En People Go estamos comprometidos con la Diversidad &amp; Inclusión en sus infinitas formas, personalidades, culturas, etnias, origen, identidad, religión, edad, gustos y capacidades. </span></br><br><span style=""font-size:16px""> ¡Te invitamos a formar parte de CGE, uno de los conglomerados energéticos más importantes del país! empresa certificada por Great Place to Work, donde podrás encontrar un ambiente dinámico y desafiante, para desarrollar tus habilidades y contribuir a continuar entregando a Chile la energía que necesita. </span></br><br><span style=""font-size:16px""> En CGE buscamos a profesionales para desempeñar el cargo de <strong>Gestor de Activos</strong> para la comuna de Puente Alto quien deberá: </span></br><br><span style=""font-size:16px""><strong>Principales funciones del cargo:</strong> </span></br><br><span style=""font-size:16px"">Planificar, programar, ejecutar, verificar, controlar, supervisar, registrar e informar la inspección periódica de equipos y redes dentro de su territorio a cargo de forma permanente u otro que defina la empresa, cumpliendo con las normas y procedimientos de la empresa en materias de seguridad e informar actividades de mantenimiento programado. </span></br><br><span style=""font-size:16px"">Resolución de hallazgos y/o observaciones en la red eléctrica </span></br><br><span style=""font-size:16px"">Reportar avance e implementación de proyectos u obras </span></br><br><span style=""font-size:16px"">Realizar actividades de tipo correctivo, corto plazo y/o curso forzoso producto de emergencias y/o contingencias en la red eléctrica. </span></br><br><span style=""font-size:16px"">Ejecutar poda menor en altura y control de vegetación a baja altura </span></br><br><span style=""font-size:16px"">Traslado, conexión, puesta en marcha y desconexión de generadores </span></br><br><span style=""font-size:16px""><strong>Requisitos:</strong> </span></br><br><span style=""font-size:16px"">Formación académica Técnico Eléctrico de Nivel Medio (excluyente). </span></br><br><span style=""font-size:16px"">Deseable nivel de Inglés Intermedio. (no excluyente) </span></br><br><span style=""font-size:16px"">Poseer licencia de conducir clase B vigente </span></br><br><span style=""font-size:16px"">Manejo de SAP u otro ERP </span></br><br><span style=""font-size:16px"">Conocimientos de normativa eléctrica vigente </span></br><br><span style=""font-size:16px"">Disponibilidad para traslados dentro de las zonas de concesión de CGE </span></br><br><span style=""font-size:16px""><strong>Condiciones laborales:</strong> </span></br><br><span style=""font-size:16px"">Contrato indefinido  </span></br><br><span style=""font-size:16px"">Modalidad de trabajo híbrida (4 días presenciales en oficina y 1 día en trabajo a distancia) 45 horas semanales de lunes a viernes. </span></br><br><span style=""font-size:16px"">Contratación directa con la empresa </span></br><br><span style=""font-size:16px""> <strong>Beneficios:</strong> </span></br><br><span style=""font-size:16px"">Tarde libre por cumpleaños de hijos menores de 15 años </span></br><br><span style=""font-size:16px"">Día libre del cumpleaños </span></br><br><span style=""font-size:16px"">Seguro Complementario de salud </span></br><br><span style=""font-size:16px"">18 días de vacaciones </span></br> Jornada Completa <p><span style=""font-size:16px"">Formación académica Técnico Eléctrico de Nivel Medio (excluyente). </span></p><p><span style=""font-size:16px"">Deseable nivel de Inglés Intermedio. (no excluyente) </span></p><p><span style=""font-size:16px"">Poseer licencia de conducir clase B vigente </span></p><p><span style=""font-size:16px"">Manejo de SAP u otro ERP </span></p><p><span style=""font-size:16px"">Conocimientos de normativa eléctrica vigente </span></p><p><span style=""font-size:16px"">Disponibilidad para traslados dentro de las zonas de concesión de CGE </span></p> Puente alto, Chile",WFH
524,"Asistente Temporada de Verano V Region  Importante empresa retail requiere contratar Asistentes de Temporada Verano
  
  Orientamos nuestra búsqueda a postulantes entusiastas, con disposición para el trabajo en equipo, responsables, proactivos, con alta orientación de servicio al cliente y excelentes relaciones interpersonales para integrar nuestro equipo de verano, para las Tiendas de la V región.
  
  Tus principales funciones serán: ordenar, reponer mercadería, mantener las ofertas de los productos en buen estado y asistir al cliente en el proceso de búsqueda de productos, tallas y colores.
  
  Jornada de trabajo ofrecida:
  
  Tiempo Completo: Disponibilidad para trabajar tiempo completo de lunes a domingo con dos días libres a la semana, con horario de Mall (de 10:45 hrs. a 21:15hrs.) durante los meses de Enero, Febrero y Marzo
  
  Ofrecemos:
  Incorporarse a una empresa dinámica, joven, orientada a la calidad y una de las tiendas por departamento más grande y moderna del país.
  
  
  ¡TE ESPERAMOS! Jornada Completa Disponibilidad para trabajar tiempo completo en turnos rotativos de lunes a domingo con dos días libres (de 10:45 hrs. a 21:15hrs.) durante los meses de Enero, Febrero y Marzo V Region",Not WFH
546,"Auditor de Contraloria Mesa de Dinero Importante Institución Financiera requiere contratar un Auditor de Contraloría.

Función del cargo:
- Auditar una Mesa de Dinero y reconocer los riesgos inherentes a dicho negocio. Jornada Completa Requisitos:
- Ingeniero Comercial, Civil o Contador Auditor con:
 1. Diplomado o cursos en Auditoría Mesas de Dinero.
 2. Diplomado o cursos en Riesgo Financiero.
 3. Cursos de instrumentos derivados (Swap, Forward).
 4. Deseable un Magíster en Finanzas o
 5. Deseable conocimientos en inversiones en mercado internacional.

- Que cuente con dos o más años de experiencia laboral previa en auditar alguna Mesa de Dinero bancaria, corredora de bolsa, fondos mutuos o de inversión, AFP, compañía de seguros, teniendo un foco en riesgo financiero más que operacional. También, experiencia en auditar productos que transa una Mesa de Dinero y saber de estos negocios, como funciona y se regula el mercado de capitales. Santiago",Not WFH
