,id,classifier_id,ad_id,classification,ease,workday,timestamp,estado
2772,2772.0,43,4373816.0,Not WFH,easy,full,,1.0
2775,2775.0,41,560615.0,Not WFH,medium,part,,1.0
2789,2789.0,39,4150489.0,WFH,easy,not clear,,1.0
2790,2790.0,11,4105291.0,WFH,easy,full,,1.0
2809,2809.0,7,221377.0,Not WFH,medium,not clear,,1.0
2811,2811.0,26,4141800.0,Not WFH,easy,full,2024-08-14 18:33:31.868977,1.0
2815,2815.0,41,240152.0,Not WFH,hard,part,,1.0
2823,2823.0,48,4131663.0,Not WFH,easy,full,,1.0
2849,2849.0,44,4101554.0,Not WFH,medium,full,,1.0
2856,2856.0,34,4110235.0,WFH,easy,full,,1.0
2861,2861.0,8,2682825.0,Not WFH,medium,full,,1.0
2872,2872.0,34,3953543.0,Not WFH,easy,full,,1.0
2877,2877.0,23,4645665.0,WFH,easy,full,,1.0
2886,2886.0,11,297354.0,Not WFH,easy,full,,1.0
2888,2888.0,8,3858414.0,Not WFH,easy,full,,1.0
2896,2896.0,24,2372874.0,Not WFH,medium,not clear,,1.0
2907,2907.0,34,4088635.0,WFH,easy,full,,1.0
2916,2916.0,11,5377995.0,Not WFH,easy,full,,1.0
2922,2922.0,44,5646855.0,WFH,medium,not clear,,1.0
2923,2923.0,34,5277922.0,WFH,easy,full,,1.0
2928,2928.0,34,651570.0,Not WFH,medium,not clear,,1.0
2933,2933.0,8,3864055.0,Not WFH,easy,full,,1.0
2934,2934.0,31,494126.0,Not WFH,easy,part,,1.0
2954,,44,3884047.0,Not WFH,easy,full,,1.0
2960,,28,4135275.0,WFH,easy,full,,1.0
2963,,27,5604851.0,Not WFH,easy,full,,1.0
2969,,52,5474576.0,WFH,easy,full,2024-07-24 03:52:14.524738,1.0
2971,,14,3561458.0,Not WFH,easy,part,,1.0
2974,,44,4230059.0,WFH,easy,not clear,,1.0
2981,,34,5288162.0,Not WFH,easy,full,,1.0
3002,,8,454401.0,Not WFH,medium,part,,1.0
3004,,21,5645714.0,WFH,easy,full,,1.0
3008,,36,1068824.0,WFH,medium,full,,1.0
3012,,49,5399140.0,WFH,easy,full,2024-07-22 18:59:17.025479,1.0
3019,,8,501194.0,WFH,hard,full,,1.0
3044,,33,2844992.0,Not WFH,easy,full,,1.0
3060,,27,1082286.0,Not WFH,medium,full,,1.0
3062,,34,4207774.0,WFH,easy,part,,1.0
3067,,11,3845391.0,Not WFH,easy,full,,1.0
3073,,24,3937411.0,Not WFH,easy,full,,1.0
3074,,43,3869691.0,Not WFH,easy,full,,1.0
3075,,34,3390192.0,Not WFH,easy,full,,1.0
3076,,26,5315517.0,Not WFH,medium,full,2024-07-21 03:57:49.640283,1.0
3077,,13,347291.0,Not WFH,easy,full,,1.0
3096,,8,4106615.0,WFH,easy,full,,1.0
3099,,36,947739.0,Not WFH,easy,full,,1.0
3102,,8,3866726.0,Not WFH,easy,full,,1.0
3108,,34,5038059.0,WFH,medium,not clear,,1.0
3110,,34,5165042.0,Not WFH,easy,not clear,,1.0
3114,,8,911278.0,Not WFH,easy,full,,1.0
3123,,41,486557.0,Not WFH,easy,full,,1.0
3125,,34,5628292.0,WFH,easy,full,,1.0
3126,,13,3966464.0,Not WFH,easy,full,,1.0
3128,,8,3763662.0,Not WFH,easy,full,,1.0
3132,,8,3878657.0,Not WFH,easy,full,,1.0
3145,,8,3946029.0,Not WFH,medium,full,,1.0
3153,,34,2283548.0,Not WFH,easy,not clear,,1.0
3157,,34,4077156.0,Not WFH,easy,full,,1.0
3161,,11,3434806.0,Not WFH,easy,full,,1.0
3162,,26,5036490.0,WFH,easy,full,2024-07-23 06:27:48.167119,1.0
3164,,9,4530439.0,WFH,medium,not clear,,1.0
3167,,34,334974.0,Not WFH,easy,full,,1.0
3170,,43,5647187.0,Not WFH,easy,full,,1.0
3189,,8,4047976.0,WFH,easy,full,,1.0
3192,,20,3474741.0,WFH,medium,part,,1.0
3196,,8,3489390.0,Not WFH,medium,full,,1.0
3207,,28,3980520.0,Not WFH,medium,full,,1.0
3217,,28,4507676.0,Not WFH,easy,full,,1.0
3222,,32,5114930.0,WFH,easy,full,,1.0
3254,,23,419006.0,WFH,medium,part,,1.0
3266,,34,4328136.0,WFH,easy,full,,1.0
3271,,29,4572752.0,WFH,medium,not clear,,1.0
3275,,8,1895445.0,Not WFH,easy,part,,1.0
3278,,8,4072347.0,WFH,easy,full,,1.0
3292,,32,4095979.0,WFH,easy,full,,1.0
